review,sentiment
"I bought this DVD for £1 and now i realise why. The acting was the worst I've seen in a long time. The lighting and sound are shoddy at best. The plot makes little sense even when sober (WARNING: I don't advise watching this film when sober.) This film feels like you're watching the home movie of someone who doesn't get out much. It really is a shame that all the very little money spent on this project went to such a waste, I look forward to seeing if any of those envoled still have a career, other than eva longoria who is the only ""star"" of this film that was apparently not hit with the bad acting stick. I'm sorry that none of this criticism seems constructive but I will say one thing to James Cahill, don't try it again. In the words of squirlyem ""Its severely lacking in the good department"".",0
"""Footlight Parade"" is just one of several wonderfully jaunty musicals that Warner Bros. produced in the early 1930's to ward off the Depression. ""42nd Street"" and the Golddiggers series were also produced during this era, and they made literally, millions of Americans forget their troubles for a little while, and enjoy themselves.While most of the films produced had the great talents of Joan Blondell, Ruby Keeler, and Dick Powell, only Foolight Parade had the incomparable James Cagney. Almost ten years prior to his most well-known musical, ""Yankee Doodle Dandy"". Here he dances in that most original of dance styles, with his arms usually lowered at his side, and his legs doing all types of undulations and kicks. It's easy to see that he is enjoying himself, and that makes us enjoy him all the more.While almost all of the musical sequences appear at the end of the film, they are well worth the wait. I believe that this film was made just prior to the installation of the production code, so some of the costumes and scenes are a bit risqué. But it's all in fun.It doesn't matter what the plot of the film is, just know that there are plenty of laughs and a superlative cast. Besides those already mentioned, Guy Kibbee is at his flustered best here.7 out of 10",1
"When Hollywood is trying to grasp what an ""intelligent person"" is like, they fail so miserably, finding it hard putting words in the mouth of the purported ""genius"".Right, any genius walks around trying to rub in his superiority at every instance. Sure, they hang out in bars and pick fights  it's not like they are (generalizing wildly) autistic nerds who never have a tan.Plus, if you are a genius you know all about Math and History and Politics and of course you're constantly up to date with current events and a thorough analysis of them. Coz these things, like, all go together n stuff, y'know?Plus, you walk around with a smirk all the time. You are just a smug son of a you-know-what, that's how it is, y'all. And of course you smoke, like someone who never smoked before, but you smoke coz it's like cool n stuff, y'know. And you're different. That is understood.And of course you can fight  you're a bully. A bully who finds time to study 10.000 books whenever he doesn't lift weights. And whenever he doesn't smoke or drink beer because he follows a strict health regimen.And you date a 30-something college student  Minnie Driver. Well, I won't even comment Matt Damon. Team America has hit the nail on the head already.This movie is a daydream of a Beavis & Butthead type student (in other words 95% of them): ""Yeah, that's what I would be like if I was a genius."" But stupid people and stupid authors in this case cannot imagine the lives of geniuses.",0
"My father has worked with top secret information in the DIA before and he is the one who mentioned this movie to me. When I was a kid I would always ask him what would happen if he gave away secrets and he recommended this movie.In the movie it really puts 2, almost completely different FRIENDS! in a tangle they never really knew what the outcome would really be. The snowman, Daulton really cracked me up because the movie portrayed him as just some drug pusher that did not know what he was arguing about, and in the movie it seemed like he got the worst of everything. The falcon, Chris is just a guy that wanted to express his feelings on U.S government in a very radical view.For movie lovers this is a must see!!!",1
"I first saw this film when I was in the 8th grade and I remember that it had a profound affect on me then. I saw in again about a year ago (I am now 29) and it still moved me in similar ways. This is a great movie that personifies the struggle of ""principle vs. pragmistism"". Voight's character is the idealist teacher that won't give in to any psuedo-racist leanings of the Superintendent, Mr. Skeffington. That story also personifies the struggle of how older people often resist change, and more specifically, cultural change. Often at the expense of children. When these battles finally come to a boil, Pat Conroy loses and pragmatism reigns triumphant. Or does it? The children that he has to leave are better off for knowing him, more exposed to the ""real"" world and to classical music. The other teacher at the school gained respect for him and he learned much about himself. A great film with a heart-breaking ending. I recomend that anyone who enjoyed the film to read the book, ""The Water is Wide"", by Pat Conroy. It will stay with you!",1
"What a crime...You forgot to brush your teeth...let's make a 30 minute show about it and have a couple of kids make some noise and then have the dad lecture them all because that's what he has to do.But, don't forget Uncle Joey has to make some weird noises and cooky faces, then Uncle Jesse has to show up with his black leather jacket and some jeans and look pretty for a few minutes while everybody discusses how Mother would have done things if she were around..Yep, full of zany little adventures about a whole bunch of nothing and an entire overlong story to build around it.Full House will not only bore you to tears, but it will make you age twenty times faster than you normally would.",0
"Fans of Gerry Anderson's productions will recognise several actors and vehicles from UFO (which was made after Doppelgänger) - as well as sound effects from various Anderson series. Barry Gray's excellent music (mostly unique to this film) adds to the feeling of familiarity. For these reasons alone, I think any Gerry Anderson fan would find Doppelgänger worth getting.Judged simply as a film, it has to be said that Doppelgänger is flawed. It is known that there were major problems during production, and I suspect this is why there is a time-consuming plot thread that ends abruptly and appears to have no relevance to the rest of the story. Presumably time/budget constraints prevented the relevance from emerging!Distractingly, the special effects range from outstandingly good - better than any 1960s film that I know of - to disappointingly bad. Nevertheless, even with these flaws, Doppelgänger's main story is well told and keeps the viewer (or, at least, this viewer) engaged throughout. The ending is perhaps not what one might expect from Anderson, yet at the same time it is typical of Anderson, and it is certainly appropriate. To find out what I mean you'll have to watch it for yourself. :)",1
"I've been looking forward to the release of this movie since I first heard the concept two years ago, and I was not disappointed. I won't bother summarizing the story since everyone else has, but I will say that it was just plain entertaining throughout. The performances were great, as was the music, and the main characters were likeable.My only complaints are: (1) the story was definitely lacking; the movie wrapped up very abruptly- in fact the writing became pretty lax in the second half, as though the writers weren't sure what to do with the plot. Since the plot wasn't nearly as important as the music and the action, this didn't really affect the entertainment value of the film, so this is not as major a complaint as it would seem.(2) This is really nitpicky, but the music that the characters in the movie were listening to was sometimes dated after 1985, when the movie was set. INXS' Devil Inside was from 1987 and AC/DC's Are You Ready was from 1990, among other mistakes. This bothers me a bit, since they obviously went to lengths to make a good period piece, they could have checked the copyright date on these songs to make sure they were 1985 or earlier. Again, not a big deal.Oh, I thought of something else that was strange. The Steel Dragon band members were supposed to be English, but for some reason Dokken bassist Jeff Pilson and Ozzy guitarist Zakk Wylde played band members, and they each had a couple of speaking lines in AMERICAN accents. That was kind of lazy also, but it was still cool to see actual musicians playing musicians, so I will forgive that as well.I could probably nitpick all day, but I don't want to give the impression that this wasn't a super entertaining movie. I will probably buy the DVD when it comes out, and I will certainly buy the soundtrack CD simply for the six Steel Dragon songs (some of which were sung by the singer from the band Steelheart, if you remember them!). The highlight of the film was possibly a great outtake where Mark Wahlberg is lipsynching to a rock song on stage and suddenly someone plays ""Good Vibrations"" by Marky Mark and the Funky Bunch. The surprised look of Mark's face is priceless. Classic rock and roll flick! Score: 8/10 due to extreme entertainment",1
"John Garfield plays a Marine who is blinded by a grenade while fighting on Guadalcanal and who has to learn to live with his disability. He has all the stereotypical notions about blindness, and is sure he'll be a burden to everyone. The hospital staff and his fellow wounded Marines can't get through to him. Neither can his girl back home played by Eleanor Parker. He's stubborn and blinded by his own fears, self pity, and prejudices. It's a complex role that Garfield carries off memorably in a great performance that keeps one watching in spite of the ever present syrupy melodrama. The best scenes are on Guadalcanal, where he's in a machine gun nest trying to fend off the advancing Japanese soldiers in a hellish looking night time battle, and later a dream sequence in the hospital where he sees himself walking down a train platform with a white cane, dark glasses, and holding out a tin cup, all the while his girlfriend walks backward away from the camera.",1
"I too was intrigued by the high (8.5) rating for this film, and was very disappointed. I had just seen a couple of good foreign films and was looking forward to making it three in a row, but it was not to be. I went with a spanish speaking friend who felt the same way. There is not much of a plot, if any. I don't necessarily need that in a movie, but it needs to somehow entertain or bring me in. The best I could say would be that it aspires to be an Altman-esque film, albeit with an extremely small ensemble. Sure, there are moments, but a few moments easily get thinned out by 97 slow minutes of nothing. I do not understand the high rating for this film. I give it a 3.",0
"Advertised by channel seven in Australia as the ""untold story"", this miniseries undoes itself in the first five minutes by washing over the titular character's childhood and adolescence in less time than a good director will use to set up a single event. This cowardice and self-censorship for the fear of offending anyone permeates the series, and is ultimately responsible for its failure.Robert Carlyle puts in a valiant performance as the most hated man of the twentieth century, but he is hamstrung by two things. The lack of a decent dialogue coach on the series leaves his Northern-UK heritage shining blindingly through his physical appearance, and the dialogue is at times truly abysmal. Apparently, acknowledging the fact that Hitler was raised in a Catholic family is off limits, but insulting millions of Vikings and their descendants by having Carlyle spew the most ridiculous lines about Valhalla is quite okay. Well, here's a clue for the writers - any person familiar with Viking mythology will tell you that Valhalla is about the embodiment of honour and might in battle, two things that the Nazis quickly eschewed in favour of rat cunning and backstabbing. Until we can wake up to ourselves and realise that the reason Hitler has never been excommunicated from the Catholic church is because it would require the embarassing acknowledgement that he was once a member, we will never learn what this awful period of the world's history has to teach us.So now that we've managed to insult Vikings and the citizens of Scandinavian countries in this sham, you'd think the series would stop there, but it doesn't. Stockard Channing's listing in the opening credits was particularly eyebrow-raising, given that her voice is heard, and her face seen, for about thirty seconds at the most during the opening credits, making it patently transparent that more footage of Hitler's early days were shot, but not included because of a typical nanny-state fear of offending someone. It is also quite ironic that the films or miniseries which give a far better insight into Hilter's character do not feature him at all.Until we learn to stop sugar-coating the truth and realise that the citizenry of Germany was mostly unopposed to Hitler's views, and not necessarily through ignorance, we will never learn to deal with the fact that subversions of democracy (yes, Germany was a democracy pre-Hitler) can occur anywhere, we are doomed. That's the one thing this mini-series got right in portraying. Unfortunately, that element is lost in attempts to make Hitler's religious beliefs appear those of a much more valiant people, and the inability to scratch past the surface in any part of the subject matter. David Letterman's show had it pegged when they ran short satirical segments about the series. They really might as well have made a family sitcom with him as the star, that's how badly it was written.All in all, this politically correct farce of a bio-pic is worth no points, but I gave it two because Robert Carlyle definitely deserves better material than this, and he is about the only thing in it that works.",0
"Let me just give you guys some advice, if your going to watch this movie just to see a bunch of unlikable characters get slaughtered in a dozen different ways then you are going to love this movie because everyone dies a horrible death, beyond the gore however there is not much else.where should i start: -the characters do not appeal to the audience as there are no back stories for any of them, there for i didn't feel connected to any of them, in fact i didn't like any of them, and i was so sick of them that by the end of the movie i was rooting for the disfigured creep to kill them all.(which he did by the way)-bad acting; i mean i didn't get it, take the Asian tour guide for example, first he spoke perfect English then after their little tour boat thing sunk he somehow got an accent out of the blue, then later on went to speaking normal English.-one of the worst endings for a horror:(if you can call it that)after the monster/human mutant thing kills almost everyone, he is killed by the last two remaining idiots, or so they thought! the monster/human thing is finally killed when the beauty and the geek stick a pole through its heart/nick(it was hard to tell)and presumably it died right in front of them(within arms reach) but later on it comes back and kills them(wtf) i mean why didn't it just kill them when he was right next to them. Arghhhh! i mean it was just way too retarded,it was like the writer didn't know where he wanted the story to go.(or he was a few minutes short of 80 min so he added some more retarded twists to the movie so people can get 80min worth of crap instead of 75min.what i didn't get was why didn't they just kill the damned thing while it was unconscious, instead they just walked away from it like idiots and left it so it could come back and kill them. the only reason i gave it a 4 was because of the gore which was actually the only thing that i watched this movie to the end for, that and to watch them all get killed.(no, i'm serious)",0
"This is one of the worst movies I have ever seen. I didn't go in with high expectations, but as soon as it started I thought it might be o-k. It wasn't. Jim Carrey seemed to try, but he spoke all his lines as though he were some diabolic cartoon character. The other actors all seem to try their best but are kind of wooden. The plot has a good basis, but the melodramatic lines make it dull and kind of stupid. I was laughing during the whole second half of the movie, and after five minutes of that I got tired of that. Most plot 'twists' you could see from several miles off. It's just not worth watching. I really wish I hadn't wasted my time with it.",0
"Ugly women-of-the-cellblock flick rakes the bottom of the midnight-movie barrel, combining pulpy sleaze with the hoariest of girls-in-the-shower clichés. Linda Blair plays an innocent sent to jail (we learn offhandedly she was involved in running over some guy with her car), facing hard time in the Big House with some of the nastiest characters this side of a Russ Meyer pic. Blair is continually pawed at, punched, raped, humiliated and harassed. The dialogue is four-letter-word disgusting throughout, and the flick offers no let-up from its barrage of violence and stupidity. Still, some viewers see this as a camp classic, though perhaps its tongue isn't far enough in cheek. * from ****",0
"""Purple Rain"" has never been a critic's darling but it is a cult classic - and deserves to be. If you are a Prince fan this is for you.The main plot is Prince seeing his abusive parents in himself and him falling in love with a girl. Believe it or not this movie isn't just singing and dancing. There are many intense scenes and it is heartwarming. Sometimes it comes off has funny but when it works it really works. Very hit and miss.No one can really act in the film. Everyone is from one of Prince's side acts like ""The Time"" and ""Vanity 6"". Still, it adds charm to the movie. When ever Prince is on screen he lights it up and it fun to see him at his commercial peak. In conclusion, go and see this if you love Prince like me. If you aren't a fan it'll make you one.",1
